,full_address,url,lat,long
102,"7615 POPPY MILL LN Forsyth County, GA","https://www.google.com/maps/search/7615%20POPPY%20MILL%20LN%20Forsyth%20County,%20GA",34.1636894,-84.2161396
103,"3550 HIDDEN LAKE DR Forsyth County, GA","https://www.google.com/maps/search/3550%20HIDDEN%20LAKE%20DR%20Forsyth%20County,%20GA",34.1401305,-84.0963225
104,"1346 THORNBOROUGH DR Forsyth County, GA","https://www.google.com/maps/search/1346%20THORNBOROUGH%20DR%20Forsyth%20County,%20GA",34.1074895,-84.2485718
105,"3540 CHARLESBOURG RUN Forsyth County, GA","https://www.google.com/maps/search/3540%20CHARLESBOURG%20RUN%20Forsyth%20County,%20GA",34.252544,-84.194481
106,"2670 WESTLINGTON CIR Forsyth County, GA","https://www.google.com/maps/search/2670%20WESTLINGTON%20CIR%20Forsyth%20County,%20GA",34.2248144,-84.1885744
107,"8220 MAJORS GLEN CT Forsyth County, GA","https://www.google.com/maps/search/8220%20MAJORS%20GLEN%20CT%20Forsyth%20County,%20GA",34.1420174,-84.1819421
108,"1350 BLUESTONE DR 301 Forsyth County, GA","https://www.google.com/maps/search/1350%20BLUESTONE%20DR%20301%20Forsyth%20County,%20GA",34.1364743,-84.1796605
109,"6140 BROADWATER TRL Forsyth County, GA","https://www.google.com/maps/search/6140%20BROADWATER%20TRL%20Forsyth%20County,%20GA",34.269751,-84.1372729
110,"6015 ZINFANDEL DR Forsyth County, GA","https://www.google.com/maps/search/6015%20ZINFANDEL%20DR%20Forsyth%20County,%20GA",34.0867503,-84.1258881
111,"5210 GLENN IVEY DR Forsyth County, GA","https://www.google.com/maps/search/5210%20GLENN%20IVEY%20DR%20Forsyth%20County,%20GA",34.3065933,-84.080512
112,"8055 LITTLE MILL RD Forsyth County, GA","https://www.google.com/maps/search/8055%20LITTLE%20MILL%20RD%20Forsyth%20County,%20GA",34.2722967,-84.024632
113,"6155 OLD STILL RUN RD Forsyth County, GA","https://www.google.com/maps/search/6155%20OLD%20STILL%20RUN%20RD%20Forsyth%20County,%20GA",34.3207374,-83.9856486
114,"825 SIENNA DR Forsyth County, GA","https://www.google.com/maps/search/825%20SIENNA%20DR%20Forsyth%20County,%20GA",34.2077792,-84.1583934
